number,Chinese entity name,entity binomial scientific name,Chinese condition,English condition,Chinese relation,English relation
488,扁豆茎枯病,Fusarium oxysporum f. sp. lablab,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
489,扁豆茎枯病,Fusarium oxysporum f. sp. lablab,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
490,扁豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
491,扁豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,大水漫灌,Flood irrigation,适宜发生条件,ConditionIs
492,扁豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
493,扁豆立枯病,Rhizoctonia solani,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
494,扁豆立枯病,Rhizoctonia solani,地下水位高,High groundwater level,适宜发生条件,ConditionIs
495,扁豆红斑病,Cercospora dolichi,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
496,扁豆黑斑病,Alternaria alternata,温暖多湿,Warm and humid,适宜发生条件,ConditionIs
497,扁豆淡褐斑病,Septoria glycines,多雨,Rainy,适宜发生条件,ConditionIs
498,扁豆绵疫病,Phytophthora phaseoli,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
499,扁豆绵疫病,Phytophthora phaseoli,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
500,扁豆绵疫病,Phytophthora phaseoli,通风透光不好,Poor ventilation and light transmission,适宜发生条件,ConditionIs
501,扁豆枯萎病,Fusarium oxysporum f. sp. tracheiphilum,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
502,扁豆枯萎病,Fusarium oxysporum f. sp. tracheiphilum,土质粘重,Heavy soil,适宜发生条件,ConditionIs
503,蚕豆锈病,Uromyces fabae,温暖潮湿,Warm and humid,适宜发生条件,ConditionIs
504,蚕豆锈病,Uromyces fabae,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
505,蚕豆锈病,Uromyces fabae,土质黏重,Heavy soil,适宜发生条件,ConditionIs
506,蚕豆赤斑病,Botrytis fabae,田间湿度大,High humidity in the field,适宜发生条件,ConditionIs
507,蚕豆赤斑病,Botrytis fabae,温度适宜,Suitable temperature,适宜发生条件,ConditionIs
508,蚕豆白粉病,Erysiphe polygoni,多雨,Rainy,适宜发生条件,ConditionIs
509,蚕豆炭疽病,Colletotrichum lindemuthianum,温凉多湿,Cool and humid,适宜发生条件,ConditionIs
510,蚕豆炭疽病,Colletotrichum lindemuthianum,多雨多露,Rainy and dewy,适宜发生条件,ConditionIs
511,蚕豆炭疽病,Colletotrichum lindemuthianum,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
512,蚕豆炭疽病,Colletotrichum lindemuthianum,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
513,蚕豆茎疫病,Phytophthora megasperma,低温多湿,Low temperature and high humidity,适宜发生条件,ConditionIs
514,蚕豆茎疫病,Phytophthora megasperma,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
515,蚕豆茎疫病,Phytophthora megasperma,种植粗放,Extensive planting,适宜发生条件,ConditionIs
516,蚕豆茎疫病,Phytophthora megasperma,土壤肥力差,Poor soil fertility,适宜发生条件,ConditionIs
517,蚕豆轮纹病,Ascochyta fabae,多雨潮湿,Rainy and humid,适宜发生条件,ConditionIs
518,蚕豆轮纹病,Ascochyta fabae,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
519,蚕豆轮纹病,Ascochyta fabae,排水不良,Poor drainage,适宜发生条件,ConditionIs
520,蚕豆立枯病,Rhizoctonia solani,土壤过湿或过干,Soil is too wet or too dry,适宜发生条件,ConditionIs
521,蚕豆修尾蚜,Megoura japonica,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
522,蚕豆修尾蚜,Megoura japonica,排水不良,Poor drainage,适宜发生条件,ConditionIs
523,蚕豆修尾蚜,Megoura japonica,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
524,蚕豆修尾蚜,Megoura japonica,管理粗放,Extensive management,适宜发生条件,ConditionIs
525,蚕豆修尾蚜,Megoura japonica,干旱,drought,适宜发生条件,ConditionIs
526,蚕豆修尾蚜,Megoura japonica,少雨,Little rain,适宜发生条件,ConditionIs
527,黄花菜锈病,Puccinia hemerocallidis,温暖湿润,Warm and humid,适宜发生条件,ConditionIs
528,黄花菜锈病,Puccinia hemerocallidis,肥水不均,Uneven fertilizer and water,适宜发生条件,ConditionIs
529,黄花菜锈病,Puccinia hemerocallidis,光照不足,Insufficient light,适宜发生条件,ConditionIs
530,黄花菜白绢病,Sclerotium rolfsii,湿度大,High humidity,适宜发生条件,ConditionIs
531,黄花菜白绢病,Sclerotium rolfsii,排水不良,Poor drainage,适宜发生条件,ConditionIs
532,黄花菜黑斑病,Alternaria hemerocallidis,温暖多雨,Warm and rainy,适宜发生条件,ConditionIs
533,黄花菜霉杆病,Botrytis cinerea,土壤粘重,Heavy soil,适宜发生条件,ConditionIs
534,黄花菜根腐病,Fusarium solani,土温低,Low soil temperature,适宜发生条件,ConditionIs
535,黄花菜根腐病,Fusarium solani,湿度大,High humidity,适宜发生条件,ConditionIs
536,黄花菜根腐病,Fusarium solani,排水不良,Poor drainage,适宜发生条件,ConditionIs
537,枸杞白粉病,Erysiphe betae,郁闭透光性差,Poor light transmittance,适宜发生条件,ConditionIs
538,枸杞灰斑病,Septoria lycii,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
539,枸杞灰斑病,Septoria lycii,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
540,枸杞灰斑病,Septoria lycii,空气潮湿,Humid air,适宜发生条件,ConditionIs
541,枸杞灰斑病,Septoria lycii,土壤缺肥,Soil lack of fertilizer,适宜发生条件,ConditionIs
542,枸杞根腐病,Fusarium solani,地势低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
543,枸杞根腐病,Fusarium solani,土壤粘重,Heavy soil,适宜发生条件,ConditionIs
544,枸杞根腐病,Fusarium solani,耕作粗放,Extensive farming,适宜发生条件,ConditionIs
545,马铃薯瓢虫,Henosepilachna vigintioctopunctata,湿度适中,Moderate humidity,适宜发生条件,ConditionIs
546,三点盲蝽,Adelphocoris fasciaticollis,相对湿度为60%,Relative humidity: 60%,适宜发生条件,ConditionIs
547,芦笋立枯病,Rhizoctonia solani,土壤过湿,Soil too wet,适宜发生条件,ConditionIs
548,芦笋紫纹羽病,Helicobasidium mompa,低洼潮湿,Low-lying and humid,适宜发生条件,ConditionIs
549,甘蓝夜蛾,Mamestra brassicae,相对湿度70%,Relative humidity 70%,适宜发生条件,ConditionIs
550,莲藕腐败病,Fusarium oxysporum f. sp. nelumbicola,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
551,莲藕腐败病,Fusarium oxysporum f. sp. nelumbicola,通气性差,Poor ventilation,适宜发生条件,ConditionIs
552,莲藕尾孢褐斑病,Cercospora nymphaeacea,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
553,莲藕褐纹病,Cercospora nymphaeacea,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
554,莲藕炭疽病,Colletotrichum gloeosporioides,高湿高温,High humidity and high temperature,适宜发生条件,ConditionIs
555,莲藕叶疫病,Phytophthora nicotianae var. parasitica,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
556,莲藕叶疫病,Phytophthora nicotianae var. parasitica,空气潮湿,Humid air,适宜发生条件,ConditionIs
557,莲缢管蚜,Rhopalosiphum nymphaeae,温度高湿,High temperature and humidity,适宜发生条件,ConditionIs
558,莲缢管蚜,Rhopalosiphum nymphaeae,高温干燥,High temperature drying,适宜发生条件,ConditionIs
559,茭白纹枯病,Thanatephorus cucumeris,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
560,茭白纹枯病,Thanatephorus cucumeris,降雨多,Heavy rainfall,适宜发生条件,ConditionIs
561,茭白纹枯病,Thanatephorus cucumeris,田间湿度大,High humidity in the field,适宜发生条件,ConditionIs
562,茭白瘟病,Pyricularia zizaniae,土壤温度低,Low soil temperature,适宜发生条件,ConditionIs
563,茭白瘟病,Pyricularia zizaniae,连阴雨,Continuous rain,适宜发生条件,ConditionIs
564,茭白瘟病,Pyricularia zizaniae,光照不足,Insufficient light,适宜发生条件,ConditionIs
565,茭白黑粉病,Ustilago esculenta,高温,high temperature,适宜发生条件,ConditionIs
566,茭白黑粉病,Ustilago esculenta,多雨,Rainy,适宜发生条件,ConditionIs
567,茭白黑粉病,Ustilago esculenta,郁闷高湿,Depression and high humidity,适宜发生条件,ConditionIs
568,茭白黑粉病,Ustilago esculenta,灌水不当,Improper watering,适宜发生条件,ConditionIs
569,慈姑黑粉病,Ustilago esculenta var. zizaniae,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
570,慈姑斑纹病,Cercospora sagittariae,温暖多湿,Warm and humid,适宜发生条件,ConditionIs
571,慈姑褐斑病,Alternaria zizaniae,温暖多湿,Warm and humid,适宜发生条件,ConditionIs
572,荸荠杆枯病,Fusarium oxysporum f. sp. eleocharidis,雨水多,Heavy rain,适宜发生条件,ConditionIs
573,荸荠杆枯病,Fusarium oxysporum f. sp. eleocharidis,湿度大,High humidity,适宜发生条件,ConditionIs
574,荸荠茎腐病,Fusarium oxysporum f. sp. eleocharidis,土质瘠薄,Poor soil,适宜发生条件,ConditionIs
575,荸荠茎腐病,Fusarium oxysporum f. sp. eleocharidis,土层浅或缺肥,Shallow soil or lack of fertilizer,适宜发生条件,ConditionIs
576,荸荠茎腐病,Fusarium oxysporum f. sp. eleocharidis,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
577,荸荠茎腐病,Fusarium oxysporum f. sp. eleocharidis,灌水过深,Too deep watering,适宜发生条件,ConditionIs
578,蘑菇褐腐病,Trichoderma viride,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
579,蘑菇褐腐病,Trichoderma viride,通风不畅,Poor ventilation,适宜发生条件,ConditionIs
580,蘑菇褐斑病,Mycogone perniciosa,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
581,蘑菇褐斑病,Mycogone perniciosa,通风不畅,Poor ventilation,适宜发生条件,ConditionIs
582,蘑菇猝倒病,Rhizoctonia solani,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
583,佛手瓜蔓枯病,Mycosphaerella citrullina,通风透光差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
584,佛手瓜叶点病,Phyllosticta cucurbitacearum,通风不好,Poor ventilation,适宜发生条件,ConditionIs
585,佛手瓜叶点病,Phyllosticta cucurbitacearum,光照不足,Insufficient light,适宜发生条件,ConditionIs
586,佛手瓜叶点病,Phyllosticta cucurbitacearum,排水不良,Poor drainage,适宜发生条件,ConditionIs
587,佛手瓜叶点病,Phyllosticta cucurbitacearum,株间湿度大,High humidity between plants,适宜发生条件,ConditionIs
588,苦瓜白斑病,Cercospora momordicae,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
589,苦瓜霜霉病,Pseudoperonospora cubensis,低温阴雨,Low temperature and rainy weather,适宜发生条件,ConditionIs
590,苦瓜霜霉病,Pseudoperonospora cubensis,雨水多,Heavy rain,适宜发生条件,ConditionIs
591,苦瓜炭疽病,Colletotrichum orbiculare,通风条件差,Poor ventilation,适宜发生条件,ConditionIs
592,苦瓜炭疽病,Colletotrichum orbiculare,施氮肥过多,Excessive nitrogen fertilizer application,适宜发生条件,ConditionIs
593,苦瓜炭疽病,Colletotrichum orbiculare,大水漫灌,Flood irrigation,适宜发生条件,ConditionIs
594,苦瓜叶枯病,Alternaria cucumerina,雨量大,Heavy rainfall,适宜发生条件,ConditionIs
595,苦瓜叶枯病,Alternaria cucumerina,相对湿度高于90%,Relative humidity above 90%,适宜发生条件,ConditionIs
596,苦瓜叶枯病,Alternaria cucumerina,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
597,苦瓜叶枯病,Alternaria cucumerina,排水不良,Poor drainage,适宜发生条件,ConditionIs
598,苦瓜叶枯病,Alternaria cucumerina,湿气滞留,Moisture Retention,适宜发生条件,ConditionIs
599,苦瓜斑点病,Cercospora momordicae,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
600,苦瓜斑点病,Cercospora momordicae,田间郁蔽,Field shade,适宜发生条件,ConditionIs
601,苦瓜枯萎病,Fusarium oxysporum f. sp. momordicae,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
602,苦瓜根腐病,Fusarium solani,高温,high temperature,适宜发生条件,ConditionIs
603,苦瓜根腐病,Fusarium solani,高湿,High humidity,适宜发生条件,ConditionIs
604,苦瓜白绢病,Sclerotium rolfsii,土质黏重,Heavy soil,适宜发生条件,ConditionIs
605,苦瓜白绢病,Sclerotium rolfsii,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
606,苦瓜白绢病,Sclerotium rolfsii,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
607,苦瓜猝倒病,Pythium ultimum,低温,Low temperature,适宜发生条件,ConditionIs
608,苦瓜猝倒病,Pythium ultimum,高湿,High humidity,适宜发生条件,ConditionIs
609,苦瓜猝倒病,Pythium ultimum,光照不足,Insufficient light,适宜发生条件,ConditionIs
610,苦瓜猝倒病,Pythium ultimum,湿度偏大,Humidity is too high,适宜发生条件,ConditionIs
611,苦瓜菌核病,Sclerotinia sclerotiorum,低温,Low temperature,适宜发生条件,ConditionIs
612,苦瓜菌核病,Sclerotinia sclerotiorum,湿度大,High humidity,适宜发生条件,ConditionIs
613,苦瓜蔓枯病,Mycosphaerella melonis,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
614,苦瓜蔓枯病,Mycosphaerella melonis,种植过密,Too dense planting,适宜发生条件,ConditionIs
615,苦瓜蔓枯病,Mycosphaerella melonis,通风不良,Poor ventilation,适宜发生条件,ConditionIs
616,苦瓜立枯病,Rhizoctonia solani,光照不足,Insufficient light,适宜发生条件,ConditionIs
617,苦瓜立枯病,Rhizoctonia solani,高温,high temperature,适宜发生条件,ConditionIs
618,苦瓜立枯病,Rhizoctonia solani,高湿,High humidity,适宜发生条件,ConditionIs
619,苦瓜细菌性角斑病,Pseudomonas syringae pv. lachrymans,相对湿度为70%以上,Relative humidity is above 70%,适宜发生条件,ConditionIs
620,苦瓜细菌性角斑病,Pseudomonas syringae pv. lachrymans,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
621,苦瓜细菌性角斑病,Pseudomonas syringae pv. lachrymans,排水不良,Poor drainage,适宜发生条件,ConditionIs
622,苦瓜病毒病,Watermelon mosaic virus,高温,high temperature,适宜发生条件,ConditionIs
623,苦瓜病毒病,Watermelon mosaic virus,干旱,drought,适宜发生条件,ConditionIs
624,菜豆红斑病,Cercospora canescens,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
625,菜豆白绢病,Sclerotium rolfsii,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
626,菜豆炭腐病,Macrophomina phaseolina,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
627,菜豆炭腐病,Macrophomina phaseolina,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
628,菜豆炭腐病,Macrophomina phaseolina,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
629,菜豆锈病,Uromyces appendiculatus,排水不良,Poor drainage,适宜发生条件,ConditionIs
630,菜豆锈病,Uromyces appendiculatus,种植过密,Too dense planting,适宜发生条件,ConditionIs
631,菜豆锈病,Uromyces appendiculatus,通风不畅,Poor ventilation,适宜发生条件,ConditionIs
632,菜豆炭疽病,Colletotrichum lindemuthianum,地势低洼窝风,Low-lying terrain,适宜发生条件,ConditionIs
633,菜豆黑斑病,Alternaria brassicae,温暖多湿,Warm and humid,适宜发生条件,ConditionIs
634,菜豆褐斑病,Septoria glycines,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
635,菜豆根腐病,Fusarium solani,土质黏重,Heavy soil,适宜发生条件,ConditionIs
636,菜豆枯萎病,Fusarium oxysporum f. sp. phaseoli,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
637,菜豆枯萎病,Fusarium oxysporum f. sp. phaseoli,灌水频繁,Frequent watering,适宜发生条件,ConditionIs
638,菜豆枯萎病,Fusarium oxysporum f. sp. phaseoli,田间湿度大,High humidity in the field,适宜发生条件,ConditionIs
639,菜豆枯萎病,Fusarium oxysporum f. sp. phaseoli,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
640,菜豆枯萎病,Fusarium oxysporum f. sp. phaseoli,管理粗放,Extensive management,适宜发生条件,ConditionIs
641,菜豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
642,菜豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,温度高,High temperature,适宜发生条件,ConditionIs
643,菜豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,湿度大,High humidity,适宜发生条件,ConditionIs
644,菜豆细菌性晕疫病,Pseudomonas syringae pv. aptata,潮湿,Wet,适宜发生条件,ConditionIs
645,菜豆斑点病,Cercospora canescens,温暖多湿,Warm and humid,适宜发生条件,ConditionIs
646,菜豆白粉病,Erysiphe polygoni,潮湿,Wet,适宜发生条件,ConditionIs
647,菜豆白粉病,Erysiphe polygoni,多雨,Rainy,适宜发生条件,ConditionIs
648,菜豆白粉病,Erysiphe polygoni,湿度高,High humidity,适宜发生条件,ConditionIs
649,菜豆污煤病,Capnodium spp.,高温,high temperature,适宜发生条件,ConditionIs
650,菜豆污煤病,Capnodium spp.,高湿,High humidity,适宜发生条件,ConditionIs
651,菜豆根霉软腐病,Rhizopus stolonifer,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
652,菜豆根霉软腐病,Rhizopus stolonifer,阴雨连绵,Continuous rain,适宜发生条件,ConditionIs
653,菜豆根霉软腐病,Rhizopus stolonifer,田间积水,Waterlogging in the fields,适宜发生条件,ConditionIs
654,菜豆根霉软腐病,Rhizopus stolonifer,湿气滞留,Moisture Retention,适宜发生条件,ConditionIs
655,菜豆(链格孢)黑斑病,Alternaria alternata,温暖多湿,Warm and humid,适宜发生条件,ConditionIs
656,豆叶螨,Tetranychus urticae,天气干旱,Dry weather,适宜发生条件,ConditionIs
657,截形叶螨,Tetranychus truncatus,高温低湿,High temperature and low humidity,适宜发生条件,ConditionIs
658,豇豆疫病,Phytophthora vignae,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
659,豇豆疫病,Phytophthora vignae,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
660,豇豆疫病,Phytophthora vignae,通风透光不好,Poor ventilation and light transmission,适宜发生条件,ConditionIs
661,豇豆煤霉病,Peronospora manshurica,高温,high temperature,适宜发生条件,ConditionIs
662,豇豆煤霉病,Peronospora manshurica,高湿,High humidity,适宜发生条件,ConditionIs
663,豇豆枯萎病,Fusarium oxysporum f. sp. tracheiphilum,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
664,豇豆枯萎病,Fusarium oxysporum f. sp. tracheiphilum,土势低洼积水,Low-lying soil and waterlogging,适宜发生条件,ConditionIs
665,豇豆锈病,Uromyces vignae,阴雨高湿度,Rainy and high humidity,适宜发生条件,ConditionIs
666,豇豆锈病,Uromyces vignae,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
667,豇豆锈病,Uromyces vignae,种植过密,Too dense planting,适宜发生条件,ConditionIs
668,豇豆锈病,Uromyces vignae,通风不良,Poor ventilation,适宜发生条件,ConditionIs
669,豇豆白粉病,Erysiphe polygoni,缺磷少钾,Phosphorus and potassium deficiency,适宜发生条件,ConditionIs
670,豇豆白绢病,Sclerotium rolfsii,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
671,豇豆基腐病,Fusarium solani,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
672,豇豆根腐病,Fusarium solani,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
673,豇豆根腐病,Fusarium solani,土质黏重,Heavy soil,适宜发生条件,ConditionIs
674,豇豆褐斑病,Septoria glycines,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
675,豇豆褐斑病,Septoria glycines,栽植过密,Too dense planting,适宜发生条件,ConditionIs
676,豇豆褐斑病,Septoria glycines,通风不良,Poor ventilation,适宜发生条件,ConditionIs
677,豇豆褐斑病,Septoria glycines,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
678,豇豆红斑病,Cercospora canescens,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
679,豇豆斑枯病,Septoria glycines,温暖高湿,Warm and humid,适宜发生条件,ConditionIs
680,豇豆立枯病,Rhizoctonia solani,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
681,豇豆根结线虫病,Meloidogyne incognita,土壤不过干,The soil is not too dry,适宜发生条件,ConditionIs
682,豇豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
683,豇豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,雾大露重,Heavy fog and dew,适宜发生条件,ConditionIs
684,豇豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,大水漫灌,Flood irrigation,适宜发生条件,ConditionIs
685,豇豆细菌性疫病,Xanthomonas axonopodis pv. phaseoli,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
686,豇豆炭疽病,Colletotrichum lindemuthianum,多雨,Rainy,适宜发生条件,ConditionIs
687,豇豆炭疽病,Colletotrichum lindemuthianum,多露,Duolu,适宜发生条件,ConditionIs
688,豇豆炭疽病,Colletotrichum lindemuthianum,多雾冷凉多湿,"Foggy, cold and wet",适宜发生条件,ConditionIs
689,豇豆炭疽病,Colletotrichum lindemuthianum,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
690,豇豆轮纹病,Ascochyta fabae,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
691,豇豆茎枯病,Fusarium oxysporum f. sp. tracheiphilum,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
692,豇豆茎枯病,Fusarium oxysporum f. sp. tracheiphilum,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
693,豇豆茎枯病,Fusarium oxysporum f. sp. tracheiphilum,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
694,豇豆灰斑病,Cercospora canescens,通风透气不良,Poor ventilation,适宜发生条件,ConditionIs
695,豇豆类菌原体丛枝病,Phytoplasma sp.,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
696,豇豆类菌原体丛枝病,Phytoplasma sp.,排水不良,Poor drainage,适宜发生条件,ConditionIs
697,豇豆类菌原体丛枝病,Phytoplasma sp.,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
698,豇豆类菌原体丛枝病,Phytoplasma sp.,偏酸,Acidic,适宜发生条件,ConditionIs
699,豇豆类菌原体丛枝病,Phytoplasma sp.,耕作粗放,Extensive farming,适宜发生条件,ConditionIs
700,毛豆疫病,Phytophthora sojae,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
701,毛豆疫病,Phytophthora sojae,土壤为黏土,Soil is clay,适宜发生条件,ConditionIs
702,毛豆疫病,Phytophthora sojae,排排水不良,Poor drainage,适宜发生条件,ConditionIs
703,豆杆黑潜蝇,Melanagromyza sojae,多雨多湿,Rainy and wet,适宜发生条件,ConditionIs
704,毛豆褐斑病,Cercospora sojina,温暖多雨,Warm and rainy,适宜发生条件,ConditionIs
705,毛豆褐斑病,Cercospora sojina,通风透光不好,Poor ventilation and light transmission,适宜发生条件,ConditionIs
706,毛豆褐斑病,Cercospora sojina,排水不良,Poor drainage,适宜发生条件,ConditionIs
707,毛豆黑斑病,Alternaria alternata,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
708,毛豆霜霉病,Peronospora manshurica,低温,Low temperature,适宜发生条件,ConditionIs
709,毛豆霜霉病,Peronospora manshurica,多雨,Rainy,适宜发生条件,ConditionIs
710,毛豆根腐病,Fusarium solani,排水不良,Poor drainage,适宜发生条件,ConditionIs
711,毛豆赤霉病,Gibberella zeae,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
712,毛豆赤霉病,Gibberella zeae,湿度大,High humidity,适宜发生条件,ConditionIs
713,毛豆枯萎病,Fusarium oxysporum f. sp. tracheiphilum,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
714,毛豆枯萎病,Fusarium oxysporum f. sp. tracheiphilum,土质黏重,Heavy soil,适宜发生条件,ConditionIs
715,毛豆枯萎病,Fusarium oxysporum f. sp. tracheiphilum,土壤板结,Soil compaction,适宜发生条件,ConditionIs
716,毛豆病毒病,Watermelon mosaic virus,气候干旱,Drought,适宜发生条件,ConditionIs
717,毛豆菌核病,Sclerotinia sclerotiorum,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
718,毛豆猝倒病,Pythium ultimum,土温低,Low soil temperature,适宜发生条件,ConditionIs
719,毛豆猝倒病,Pythium ultimum,高湿,High humidity,适宜发生条件,ConditionIs
720,毛豆立枯病,Rhizoctonia solani,低温多雨,Low temperature and heavy rain,适宜发生条件,ConditionIs
721,毛豆立枯病,Rhizoctonia solani,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
722,毛豆立枯病,Rhizoctonia solani,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
723,毛豆立枯病,Rhizoctonia solani,光照不足,Insufficient light,适宜发生条件,ConditionIs
724,毛豆茎枯病,Fusarium oxysporum f. sp. tracheiphilum,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
725,毛豆菌核疫病,Phytophthora nicotianae var. parasitica,潮湿,Wet,适宜发生条件,ConditionIs
726,毛豆菌核疫病,Phytophthora nicotianae var. parasitica,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
727,毛豆菌核疫病,Phytophthora nicotianae var. parasitica,作物遮荫,Crop Shade,适宜发生条件,ConditionIs
728,毛豆煤斑病,Capnodium spp.,田间高湿,High humidity in the field,适宜发生条件,ConditionIs
729,毛豆煤斑病,Capnodium spp.,高温,high temperature,适宜发生条件,ConditionIs
730,毛豆煤斑病,Capnodium spp.,多雨,Rainy,适宜发生条件,ConditionIs
731,毛豆紫斑病,Alternaria alternata,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
732,豌豆褐纹病,Ascochyta pisi,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
733,豌豆褐纹病,Ascochyta pisi,湿度过大,Excessive humidity,适宜发生条件,ConditionIs
734,豌豆褐纹病,Ascochyta pisi,氮肥过多,Too much nitrogen fertilizer,适宜发生条件,ConditionIs
735,豌豆白粉病,Erysiphe pisi,温暖干燥,Warm and dry,适宜发生条件,ConditionIs
736,豌豆白粉病,Erysiphe pisi,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
737,豌豆基腐病,Fusarium solani,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
738,豌豆黑根病,Rhizoctonia solani,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
739,西葫芦灰霉病,Botrytis cinerea,光照不足,Insufficient light,适宜发生条件,ConditionIs
740,西葫芦灰霉病,Botrytis cinerea,气温偏低,Low temperature,适宜发生条件,ConditionIs
741,西葫芦枯萎病,Fusarium oxysporum f. sp. cucumerinum,空气湿度大,High humidity,适宜发生条件,ConditionIs
742,西葫芦枯萎病,Fusarium oxysporum f. sp. cucumerinum,相对湿度小,Low relative humidity,适宜发生条件,ConditionIs
743,西葫芦枯萎病,Fusarium oxysporum f. sp. cucumerinum,排水不良,Poor drainage,适宜发生条件,ConditionIs
744,西葫芦枯萎病,Fusarium oxysporum f. sp. cucumerinum,浇水过多,Overwatering,适宜发生条件,ConditionIs
